id,customer_no,customer_name,area,building_no,address,service_address,phone,customer_phone,service_note,billing_note,signal_note,manual_area,manual_building_no,manual_building_name,manual_note
739,C202600089,張太太,安平,B012,府平公園 10F-1,府平公園 10F-1,0918609579,0915108788,可直接到管理室,帳務正常,需追蹤訊號,,,,
796,C202600146,林小姐,安平,B011,帝寶 5F-1,帝寶 5F-1,0942812607,0975200491,需先電聯,帳務正常,信號正常,,,,
846,C202600196,王太太,安平,B012,府平公園 4F-1,府平公園 4F-1,0928676411,0993058968,需先電聯,帳務正常,RX -3.2 / TX 42,,,,
856,C202600206,王小姐,安平,B012,府平公園 18F-8,府平公園 18F-8,0969765634,0942347235,夜間不便施工,欠費已通知,信號正常,,,,
863,C202600213,張小姐,安平,B012,府平公園 10F-7,府平公園 10F-7,0912023100,062803011,需先電聯,欠費已通知,信號正常,,,,
894,C202600244,王小姐,安平,B012,府平公園 18F-4,府平公園 18F-4,0992246373,0969456375,需先電聯,帳務正常,RX -3.2 / TX 42,,,,
901,C202600251,林先生,安平,B011,帝寶 16F-B棟16F-6,帝寶 16F-B棟16F-6,0949449379,0976479008,夜間不便施工,帳務正常,信號正常,,,,
906,C202600256,王小姐,安平,B012,府平公園 13F-2,府平公園 13F-2,0965698944,0987467099,需先電聯,帳務正常,RX -3.2 / TX 42,,,,
993,C202600343,林太太,安平,B011,帝寶 15F-B棟15F-3,帝寶 15F-B棟15F-3,0916373668,0974008659,需先電聯,帳務正常,需追蹤訊號,,,,
994,C202600344,林小姐,安平,B011,帝寶 11F-2,帝寶 11F-2,0970613512,0958844345,需先電聯,帳務正常,RX -5.8 / TX 45,,,,
1016,C202600366,陳先生,安平,B011,帝寶 16F-2,帝寶 16F-2,0928820978,0915922717,需先電聯,帳務正常,RX -5.8 / TX 45,,,,
1042,C202600392,王先生,安平,B012,府平公園 12F-A棟12F-4,府平公園 12F-A棟12F-4,0986527970,0947623923,樣本資料,帳務正常,信號正常,,,,
1059,C202600409,林小姐,安平,B012,府平公園 10F-6,府平公園 10F-6,0941340479,0923554818,樣本資料,帳務正常,需追蹤訊號,,,,
1072,C202600422,林太太,安平,B011,帝寶 6F-6,帝寶 6F-6,0958173126,063429097,可直接到管理室,帳務正常,RX -3.2 / TX 42,,,,
1104,C202600454,林先生,安平,B011,帝寶 17F-A棟17F-7,帝寶 17F-A棟17F-7,0928483411,0986642861,可直接到管理室,欠費已通知,信號正常,,,,
1115,C202600465,王太太,安平,B012,府平公園 4F-5,府平公園 4F-5,0934115131,0968095511,可直接到管理室,欠費已通知,RX -5.8 / TX 45,,,,
1148,C202600498,劉小姐,安平,B011,帝寶 12F-1,帝寶 12F-1,0957777561,0963478469,夜間不便施工,帳務正常,需追蹤訊號,,,,
1155,C202600505,李太太,安平,B011,帝寶 14F-B棟14F-2,帝寶 14F-B棟14F-2,0914608234,0986540107,夜間不便施工,帳務正常,RX -5.8 / TX 45,,,,
1168,C202600518,張太太,安平,B012,府平公園 4F-1,府平公園 4F-1,0916903892,0992449077,需先電聯,帳務正常,需追蹤訊號,,,,
1202,C202600552,劉太太,安平,B011,帝寶 2F-A棟2F-3,帝寶 2F-A棟2F-3,0948515743,0928634619,樣本資料,欠費已通知,RX -3.2 / TX 42,,,,
1217,C202600567,陳小姐,安平,B012,府平公園 9F-6,府平公園 9F-6,0948435083,0944042970,可直接到管理室,帳務正常,RX -5.8 / TX 45,,,,
